Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
262980,2020-09-26 16:25:52,213174467670432,fraud_Goyette-Herzog,travel,3.64,James,Bishop,M,7055 Fernandez Estates Apt. 676,Cecilton,MD,21913,39.4015,-75.8654,663,Podiatrist,1969-01-14,b492f488734fcf9b550edf1074d9163b,1380212752,39.944284,-75.398546
499092,2020-12-19 19:53:19,2720433095629877,fraud_Dooley Inc,shopping_pos,6.84,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",1997-08-22,4671b3e39ec9b6eafda4f2b79ff88cc4,1387482799,44.084961,-69.007131
341743,2020-10-31 01:04:30,4469777115158234880,fraud_Smitham-Boehm,grocery_net,26.4,Gregory,Graham,M,4005 Dana Glens,Methuen,MA,1844,42.728,-71.181,47249,Market researcher,1980-11-22,927358f95c0081d75815b9db6e8df861,1383181470,43.133488,-71.769613
194510,2020-08-28 20:09:40,377993105397617,fraud_Fadel Inc,health_fitness,90.14,Nathan,Martinez,M,586 Thomas Cliffs,Oconto Falls,WI,54154,44.8755,-88.1555,5548,Mining engineer,1975-09-11,e0cd3cb22a819052c0ce92e24a5d0e87,1377720580,44.276288,-88.226601
278542,2020-10-03 11:56:02,180031190491743,fraud_Murray-Smitham,grocery_pos,219.46,Becky,Mckinney,F,250 Benjamin Hill Apt. 026,Mobile,AL,36617,30.7145,-88.0918,270712,"Surveyor, land/geomatics",1972-01-05,0c7b7dbac788616ab86fa2312ef7dd54,1380801362,30.726813,-88.279547
2544,2020-06-22 04:09:57,4195740185974,fraud_McGlynn-Heathcote,misc_net,5.8,Benjamin,Robinson,M,0701 John Ranch,Portland,OR,97210,45.5303,-122.7033,841711,"Engineer, building services",1963-04-04,71b6beb9bec2312f9a61b9ce9a99ce28,1371874197,45.164699,-122.275714
390851,2020-11-21 18:42:18,38588538868506,"fraud_Boehm, Block and Jakubowski",misc_pos,3.58,Jacqueline,Curry,F,3047 Jeff Place,Marathon,TX,79842,30.1886,-103.2214,498,Lexicographer,1990-11-23,4a792a7dc95b3d5e24119848a8c06375,1385059338,29.53367,-103.746023
435385,2020-12-05 20:20:37,376445266762684,fraud_Zulauf LLC,personal_care,16.44,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,d378da920829f5a36fffe349e5e4d54c,1386274837,40.745304,-102.049869
437693,2020-12-06 08:59:22,371284100299909,fraud_Wiegand-Lowe,grocery_net,68.65,Hannah,Thomas,F,1004 Willis Pass,Hedley,TX,79237,34.8698,-100.6806,513,Early years teacher,1976-05-24,cb8d1fdf24f0f020ac69d6aa3eb8bd72,1386320362,35.431596,-100.547693
306609,2020-10-15 07:54:39,213124978348176,fraud_Rempel Inc,shopping_net,5.84,Steven,Arnold,M,079 Chelsea Rest,Belfast,NY,14711,42.32,-78.0943,1766,Mechanical engineer,1962-06-04,bf3a80f6d50c57946d609aab9300f4fe,1381823679,42.106837,-78.094864
259724,2020-09-24 21:33:05,4635330563105903,"fraud_O'Reilly, Mohr and Purdy",home,26.1,Christina,Rose,F,1984 Taylor Island Suite 836,Falls Church,VA,22046,38.8856,-77.1802,116155,Chartered accountant,1983-07-10,2a3c85f758ce77f79f0ec03a101dc60b,1380058385,39.280955,-76.86952600000001
333203,2020-10-26 22:15:26,4789911625179723,fraud_O'Hara-Wilderman,food_dining,109.99,Dorothy,Zuniga,F,77321 Ford Via,Moriches,NY,11955,40.8095,-72.8229,3285,"Research officer, trade union",1988-04-27,4ce4a8b82d9e7fcb33aeb408c0316709,1382825726,40.140318,-72.478553
477777,2020-12-14 17:28:43,213191402330021,"fraud_McCullough, Hudson and Schuster",food_dining,87.1,Thomas,Sullivan,M,464 Newman Crossroad,Milwaukee,WI,53228,42.9676,-88.0434,817312,"Accountant, chartered public finance",2004-03-18,5cf8a9cd58847525eb4a1a6037565ae7,1387042123,42.12295,-88.877977
79971,2020-07-19 12:16:57,372509258176510,fraud_Lesch Ltd,shopping_pos,1273.97,Kristen,Hanson,F,26544 Andrea Glen,Goodrich,MI,48438,42.9147,-83.4845,6951,Learning disability nurse,1985-06-18,629cf0d5d73898465eb64f42f4dfea50,1374236217,43.617218,-83.86173199999999
394310,2020-11-23 03:01:36,3575789281659026,"fraud_Ferry, Reichel and DuBuque",grocery_net,28.76,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,1989-07-17,9d430079cdb3181d8962775fd830dbf7,1385175696,39.236557,-94.453812
500565,2020-12-20 04:06:49,3538520143479972,"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,148.81,Cassandra,Nunez,F,9572 Austin Forge Suite 612,Clay Center,OH,43408,41.5686,-83.3632,269,Insurance underwriter,1965-09-15,65f3426b710cab90d1c8a8a82cd8e7e2,1387512409,41.570074,-82.926334
167722,2020-08-18 17:36:15,30234966027947,fraud_Hamill-D'Amore,health_fitness,172.05,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,b1167f73e4d491f897683b3fee3c0e05,1376847375,43.971408,-88.27255600000001
145333,2020-08-10 22:23:22,4682744518117239,fraud_Schulist Ltd,food_dining,16.48,Gregory,Webster,M,66035 Benjamin Villages,Syracuse,MO,65354,38.6547,-92.8929,628,"Radiographer, diagnostic",1961-12-18,65cbf4c7b75d4982067cf2c0e0e07201,1376173402,39.438678,-92.377769
425694,2020-12-03 02:59:57,213126662687660,fraud_Bogisich-Homenick,misc_net,585.03,Christopher,Luna,M,242 Brian Mountain,Laredo,TX,78040,27.5155,-99.4986,248858,Video editor,1971-01-28,3a588cc38c0fca5549e42b8a8ca2e2a0,1386039597,26.535587,-98.855474
139912,2020-08-09 13:54:23,4874017206859125,fraud_Wilkinson Ltd,entertainment,320.29,Lauren,Williams,F,065 Jones Stravenue,Lake Oswego,OR,97034,45.4093,-122.6847,42817,Planning and development surveyor,1982-05-28,cf9c07174553f7b4f31f739626ca2d49,1376056463,46.061039,-122.338219
58283,2020-07-11 19:34:58,4586260469584,"fraud_Nicolas, Hills and McGlynn",entertainment,61.42,Melody,Thompson,F,0362 Anderson Wall,Mound City,MO,64470,40.1362,-95.2138,1631,Architect,1953-01-20,86ff94e08aad67e42f0a2fda8f16d963,1373571298,40.098481,-96.005112
347122,2020-11-02 08:42:29,376445266762684,fraud_Kuhn LLC,misc_net,2.05,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,121bfa89400e7341df304a193c4c9ee8,1383381749,41.852203,-101.461414
314618,2020-10-19 02:11:32,346273234529002,fraud_Kris-Weimann,misc_net,48.05,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,1991-10-22,ee061293e36d11ac9ac2c37dad8e7467,1382148692,38.463489,-80.274004
406726,2020-11-28 21:40:54,4683638447911,"fraud_Roberts, Daniel and Macejkovic",kids_pets,48.77,Daniel,Boyd,M,8925 Nicholas Points,Egan,LA,70531,30.251,-92.5002,1261,Broadcast presenter,1972-07-01,f6962ec18151977ea7a1816035df75ab,1385674854,29.955116,-91.658028
428491,2020-12-03 23:10:39,180068353086472,fraud_Adams-Barrows,health_fitness,10.06,Melissa,Flores,F,7529 Carter Well Suite 262,Huntington Beach,CA,92648,33.6773,-118.0051,190249,"Therapist, horticultural",1976-09-17,24fce84dbc344bc97b89ecf8fd9e3503,1386112239,33.383140000000004,-118.839342
522118,2020-12-24 12:28:48,3531129874770000,fraud_Bode-Rempel,kids_pets,46.38,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,db9f6eee4b9233b6e2e36af98a062fba,1387888128,43.808829,-72.885136
70618,2020-07-15 09:17:53,36485887555770,"fraud_Towne, Walker and Borer",grocery_net,82.38,Michael,Gross,M,230 Ryan Tunnel Apt. 025,Fulton,OH,43321,40.4971,-82.8342,267,Facilities manager,2005-01-29,5287e2d50d4877b7c37fb480c0cdcf89,1373879873,41.342521000000005,-82.321499
242707,2020-09-17 06:17:03,3518669219150142,fraud_Torp-Labadie,gas_transport,64.67,Dorothy,Thomas,F,537 Rice Square Suite 040,Milford,OH,45150,39.1657,-84.23299999999999,31394,Hospital doctor,1996-11-12,77ecf259ae01da8e1635c0a8bc3865f8,1379398623,39.828028,-84.18776700000001
49680,2020-07-07 21:51:28,3551217896304745,"fraud_Hoppe, Harris and Bednar",entertainment,41.51,Sara,Harris,F,597 Jenny Ford Apt. 543,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09,f61d26ed6b4f4f5674f6a7e99c0236f1,1373233888,44.461077,-74.691728
484841,2020-12-15 20:39:19,4561546772499,fraud_Brown Inc,kids_pets,140.5,Daniel,Briggs,M,7118 Jessica Unions Apt. 789,Moriarty,NM,87035,34.9889,-106.0609,7268,"Therapist, art",1988-08-04,b18ec7dc05d8da747063cca2edb86117,1387139959,35.103209,-105.39962
167225,2020-08-18 15:00:38,3502088871723054,"fraud_O'Reilly, Mohr and Purdy",home,13.57,Scott,Martin,M,31472 Cody Place Suite 740,Kensington,MD,20895,39.0298,-77.0793,19054,Operations geologist,1976-09-08,a55028413e4104bcbe0b5992fd9324dd,1376838038,39.162243,-76.344863
44131,2020-07-06 14:15:33,5359543825610251,fraud_Kassulke Inc,entertainment,46.55,Michael,Francis,M,1833 Jeanette Stravenue,Belgrade,MT,59714,45.7801,-111.1439,18182,"Engineer, drilling",1975-06-29,80ec517d4fcd2138a57dec02bcf7b911,1373120133,45.439503,-111.041655
20589,2020-06-28 15:41:36,180081032825079,"fraud_McDermott, Osinski and Morar",home,112.6,Connie,Carroll,F,872 Justin Views Suite 746,Duncan,MS,38740,34.047,-90.7652,466,Trading standards officer,1955-04-03,07d70207e4750e87f8fe53836c104c05,1372434096,33.585352,-91.360747
89733,2020-07-21 22:54:53,3531129874770000,fraud_O'Connell-Ullrich,home,47.22,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,cb6cad3d22ca519c6ebf204ae43d8e19,1374447293,43.924619,-72.981697
198278,2020-08-30 09:38:04,346273234529002,fraud_Stamm-Rodriguez,misc_pos,8.34,Donna,Moreno,F,32301 Albert River Suite 364,Ronceverte,WV,24970,37.7418,-80.4626,4575,Statistician,1991-10-22,1836b9811d54ce511b0740cfecb94ec1,1377855484,38.67304,-80.077727
115542,2020-07-31 20:51:01,3531129874770000,fraud_Bahringer-Streich,food_dining,85.51,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,040ff0880408d9730d7eb5fcbb3d2c7b,1375303861,44.301583,-72.63255500000001
248840,2020-09-20 11:29:11,3565196229855512,fraud_Zboncak LLC,food_dining,52.47,Adriana,Harvey,F,715 Joy Prairie,Unionville,MO,63565,40.4815,-92.9951,3805,"Investment banker, corporate",1950-09-15,62a407c8736f8ca516e4fb9d4e05a0e6,1379676551,39.535468,-93.578866
42804,2020-07-06 05:33:40,4961003488432306,fraud_Halvorson Group,misc_pos,3.17,Stacy,Walsh,F,324 Donna Ridge Suite 651,Cressona,PA,17929,40.6284,-76.195,1606,Ecologist,1966-05-10,5639d411804282a4927d9dc20a853011,1373088820,40.133359000000006,-76.139114
286945,2020-10-06 12:27:49,3583635130604947,fraud_Feil-Morar,health_fitness,17.65,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,1985-01-01,19594e7a63e4e782eed1b249676b319f,1381062469,40.543298,-74.767725
406133,2020-11-28 15:08:46,3586955669388457,fraud_Prosacco LLC,personal_care,69.87,Benjamin,Rogers,M,24191 Elizabeth Mill,Bolivar,PA,15923,40.3673,-79.1605,1770,"Administrator, local government",1994-12-08,48d1f8b4bb8405b990ba37147020253f,1385651326,39.580532,-79.263198
509406,2020-12-21 17:07:12,30273037698427,"fraud_Bahringer, Schoen and Corkery",shopping_pos,211.28,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,2000-06-13,07e683d6ee93384b18841826eb7ebb31,1387645632,34.580728,-90.994056
95919,2020-07-24 21:17:52,30199621383748,"fraud_Durgan, Gislason and Spencer",home,3.26,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,3e8d2994f30fb6a9cca5dafd758e93c6,1374700672,34.357634999999995,-95.782313
188483,2020-08-25 22:38:44,30541100351706,"fraud_Romaguera, Cruickshank and Greenholt",shopping_net,9.34,Derrick,George,M,575 Chapman Union,Spring,TX,77379,30.0377,-95.5326,316665,"Education officer, museum",1990-09-12,871870ed3c98283a3b8d52148db74ffe,1377470324,29.82791,-95.367203
69877,2020-07-14 23:12:41,571365235126,"fraud_Koss, McLaughlin and Mayer",food_dining,148.74,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,c4c10b0340eed9090fba6f62e57dfc06,1373843561,44.303594,-85.807015
222496,2020-09-08 09:29:11,341283058448499,"fraud_Raynor, Reinger and Hagenes",gas_transport,41.7,Mario,Johns,M,62130 Miller Square Suite 785,Brinson,GA,39825,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",1935-09-08,1a101518020c407cbdf66ca7f3240ac3,1378632551,30.931272,-84.23012299999999
143028,2020-08-10 10:28:41,6595970453799027,fraud_Goodwin-Nitzsche,grocery_pos,141.69,Gina,Gomez,F,72030 Shelton Crossing Apt. 742,Stirling,NJ,7980,40.6774,-74.4968,2307,Science writer,1969-09-11,67ca63317408c695563d09f39d6b76db,1376130521,41.026818,-74.50953
79635,2020-07-19 09:25:01,4306586894261180,fraud_Kiehn Inc,grocery_pos,63.48,Renee,Walls,F,86542 Jessica Fords Apt. 706,Veedersburg,IN,47987,40.1186,-87.2602,4049,"Development worker, community",1959-10-19,a7756abd1bb7280aeb77a77c72926ca1,1374225901,39.557433,-87.061808
522789,2020-12-24 16:20:46,375082648741747,fraud_Kemmer-Buckridge,misc_pos,5.98,Shannon,Bell,F,2918 David Spurs,Georgetown,MN,56546,47.0999,-96.727,346,"Research officer, trade union",1976-12-14,7303f023b772a1f7432df544c20b035a,1387902046,46.71243,-96.568335
364806,2020-11-09 20:02:56,375534208663984,"fraud_Bahringer, Osinski and Block",food_dining,65.57,Tyler,Garcia,M,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,1986-03-28,01a0d960d15491ebec72364de29bd9f6,1384027376,38.154122,-79.136088
133315,2020-08-06 22:23:52,180049032966888,"fraud_Wuckert, Wintheiser and Friesen",home,91.45,Michael,Flores,M,70761 Fitzpatrick Brooks Suite 631,Saxon,WI,54559,46.4959,-90.4383,795,Television/film/video producer,1986-04-15,4d71498f5a841a1e7de5848ec0688c70,1375827832,47.382523,-91.103263
325194,2020-10-23 18:09:16,375248307838179,fraud_Douglas-White,entertainment,10.09,Joshua,Mendoza,M,4215 Miranda Field Suite 326,Tallmansville,WV,26237,38.8564,-80.158,571,Accounting technician,1967-09-16,9df318e06e8eb3f097da418ebc17b7df,1382551756,39.190199,-80.356635
468520,2020-12-13 02:49:14,6011679934075347,fraud_Erdman-Kertzmann,gas_transport,49.48,Jennifer,Gonzalez,F,5517 Stacy Land,Jelm,WY,82063,41.0539,-106.0763,100,Public librarian,1974-04-16,fba54758b08a869cd9378983a85542c9,1386902954,41.343527,-105.121899
242697,2020-09-17 06:06:13,377113842678100,fraud_Heidenreich PLC,grocery_pos,133.73,Billy,Gallagher,M,673 Delgado Burg,Greenwich,NJ,8323,39.4055,-75.3209,804,Insurance risk surveyor,1965-03-25,892a1efc169a47a3d29a8a92b1ce4d38,1379397973,38.727278000000005,-75.201746
460513,2020-12-10 23:28:04,30273037698427,"fraud_Ferry, Lynch and Kautzer",misc_net,217.2,Andrew,Patterson,M,06959 Stephen Branch Suite 246,Thida,AR,72165,35.5762,-91.4539,111,Careers information officer,2000-06-13,9e3af3a1a5dda0167a434310ad2e60ed,1386718084,34.677195000000005,-92.054018
66005,2020-07-13 23:19:19,3531129874770000,fraud_Hamill-D'Amore,health_fitness,5.7,Shelby,Mitchell,F,974 Cindy Stream,Brandon,VT,5733,43.8065,-73.0882,5895,"Scientist, marine",1975-07-13,6d564dbd2255722512a3afcc60180ade,1373757559,43.455696,-73.620501
7695,2020-06-23 12:28:54,60416207185,fraud_Leffler-Goldner,personal_care,148.02,Mary,Diaz,F,9886 Anita Drive,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Information systems manager,1986-02-17,86d346444b5b262159976aa4d8b64fbb,1371990534,42.876538,-109.33322
408839,2020-11-29 17:57:53,180011453250192,fraud_Schulist Ltd,food_dining,64.75,Craig,Dunn,M,721 Jacqueline Brooks,New Boston,IL,61272,41.2153,-90.9879,1504,Manufacturing engineer,1993-10-05,302345383b19cbe2224dc83ff5048b1b,1385747873,42.02562,-90.904799
490221,2020-12-17 11:33:49,3596217206093829,fraud_Kuvalis Ltd,gas_transport,68.27,Sara,Ramirez,F,23843 Scott Island,Birmingham,IA,52535,40.8626,-91.9534,888,Camera operator,1988-03-25,6198c823a488cc9e39de06da2cc56895,1387280029,41.338584,-92.351875
226140,2020-09-10 01:06:47,343819048608995,fraud_Smith-Stokes,misc_pos,5.3,Shelby,Cannon,F,1535 Ryan Burgs Suite 919,Des Moines,IA,50312,41.5855,-93.6719,222785,Wellsite geologist,1956-01-24,bf57695ae6d13ae1d1a2df76ef8ad955,1378775207,42.07869,-93.42995
238483,2020-09-15 06:48:46,2266735643685262,"fraud_Heller, Gutmann and Zieme",grocery_pos,70.78,Carlos,Chung,M,8957 Russell Key,Grant,AL,35747,34.4959,-86.259,5901,Curator,1972-07-25,c805ebfcb74b4bfebf676e7d00e66448,1379227726,34.362636,-87.071294
341836,2020-10-31 02:31:47,4255397449664185994,"fraud_Baumbach, Hodkiewicz and Walsh",shopping_pos,8.84,George,Smith,M,7377 Walton Extensions Apt. 979,Dallas,TX,75236,32.69,-96.9177,1263321,"Designer, interior/spatial",1952-09-27,1d41eeb41c699ffafd98ba9c771f5f29,1383186707,33.042019,-97.325996
347464,2020-11-02 12:00:47,3583635130604947,fraud_Hammes-Beatty,kids_pets,21.33,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,1985-01-01,a4d02dfc3e99f0b0bea6d889a628bf35,1383393647,39.053491,-74.07934499999999
286716,2020-10-06 10:18:33,6544734391390261,"fraud_Herman, Treutel and Dickens",misc_net,4.51,John,Myers,M,701 Wilson Divide,Highland,IN,46322,41.55,-87.4569,23727,Community arts worker,1982-02-08,15aecf2b29bfb72612c8dbb224aa1c14,1381054713,41.215601,-87.196283
277075,2020-10-02 16:35:57,4102003771126577611,"fraud_Hettinger, McCullough and Fay",home,100.91,William,Fitzgerald,M,715 Courtney Pike Suite 932,Keller,TX,76248,32.9276,-97.2489,95035,Probation officer,1987-06-13,81eeb9a525304217dbf63f948a46e8b4,1380731757,33.087358,-97.194638
185449,2020-08-25 03:20:38,2248735346244816,fraud_Bednar Group,misc_net,9.4,Jacob,Weber,M,29156 Mark Park Apt. 108,Utica,KS,67584,38.6411,-100.138,269,Product/process development scientist,1962-11-11,0a582efbe15881460a0a82b1007b06f3,1377400838,39.312532,-99.934727
448588,2020-12-08 02:44:27,3543299015720986,fraud_Herman Inc,misc_pos,26.21,Angela,White,F,137 Adam Dale,Lebanon,VA,24266,36.8809,-82.0956,9521,"Teacher, English as a foreign language",1977-10-19,e4849b3b45e311b9b5fb8669a5457bb1,1386470667,35.967927,-82.934335
104249,2020-07-27 16:12:13,676173792455,"fraud_Streich, Rolfson and Wilderman",kids_pets,155.04,Brittany,Cox,F,07177 William Dale Apt. 547,Santa Monica,CA,90403,34.0287,-118.4924,92043,"Civil engineer, contracting",1961-04-25,cca3f6e00fbd114bc8cf8ed807bb9fcb,1374941533,34.366665999999995,-118.177433
261862,2020-09-26 00:52:46,30242921189660,fraud_Dare-Marvin,entertainment,45.71,Dalton,Jones,M,3304 Hernandez Run,Afton,MI,49705,45.3637,-84.4695,937,Technical brewer,1958-04-06,24bb7f250a4edc9f064f1f7153c0c57d,1380156766,44.4548,-84.603521
122313,2020-08-03 04:59:43,371009169330125,fraud_Friesen-Stamm,gas_transport,51.61,Randall,Burgess,M,393 Carroll Route Suite 197,Norman Park,GA,31771,31.2462,-83.6549,5666,Rural practice surveyor,2003-09-14,3bc0b50808f3f95da3c752bd4e1b05d6,1375505983,31.992953000000004,-83.739903
325979,2020-10-24 03:54:09,2256234701263057,fraud_Botsford Ltd,shopping_pos,2507.65,Christopher,Grimes,M,39631 Dunn Radial,Grantham,NH,3753,43.5103,-72.1334,2971,Charity fundraiser,1948-04-11,15244b2e0cb9196ec8d859c157016f26,1382586849,42.785321,-72.72381
112729,2020-07-30 15:09:36,2305336922781618,fraud_Jakubowski Group,food_dining,43.81,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,f5d4c14f8730696c985e7f59d6a09665,1375196976,40.240938,-91.936565
543372,2020-12-29 01:15:19,630425673344,fraud_Ledner-Pfannerstill,gas_transport,49.38,Bryan,Miller,M,411 Laurie Fords,Cass,WV,24927,38.388000000000005,-79.9906,365,Special effects artist,1970-03-14,995585640dd70c1af43ebfeda4991b40,1388279719,39.001919,-79.856081
106455,2020-07-28 04:37:37,6547670341037171,fraud_Sporer Inc,gas_transport,43.6,Bryce,Joseph,M,148 Baker Field,Chester Heights,PA,19017,39.8839,-75.4669,348,Management consultant,1945-05-05,69a3923a5bd18589697bf95c54ed4797,1374986257,38.8981,-75.667275
474777,2020-12-14 06:18:02,377654590313960,"fraud_Okuneva, Schneider and Rau",shopping_pos,1.93,Lawrence,Davis,M,7421 Serrano Lane Apt. 580,Powell,TN,37849,36.0435,-84.04,25459,"Teacher, special educational needs",1969-02-22,6319e35b856e72913fee8121fd23e79f,1387001882,36.670437,-85.034839
30614,2020-07-01 09:06:21,3599237318576484,"fraud_Christiansen, Goyette and Schamberger",gas_transport,60.19,Jessica,Smith,F,06808 Ryan Valleys,Dubre,KY,42731,36.8421,-85.5396,341,Insurance risk surveyor,1932-11-19,a7841a2cc9e3796de3923baadddd90b4,1372669581,37.495196,-86.33235400000001
370780,2020-11-12 11:52:44,4104312520615374,fraud_Lockman Ltd,grocery_pos,99.43,Brooke,Rodriguez,F,901 Todd Gardens Apt. 466,Mountain Center,CA,92561,33.6401,-116.5567,1661,"Therapist, music",1988-09-19,79b1e593d3e766722c37142f9b658de5,1384257164,34.359395,-116.197939
